Book title, Pages, Year, Size, Cover URL, Download URL
Web Design with HTML and CSS,307 Pages,2011,24.12 MB,https://cdn.asaha.com/assets/thumbs/3e0/3e0e35e2305c83820e7f7375aaabe6e0-s.jpg
Social Media Marketing,410 Pages,2002,4.74 MB,https://cdn.asaha.com/assets/thumbs/3d7/3d721cafb681643e52c1824ba07cdf0d-s.jpg
Data Analysis with Microsoft Excel,613 Pages,2010,10.55 MB,https://cdn.asaha.com/assets/thumbs/a18/a18fcb4886ec0e3bfc7854570a8776a2-s.jpg
PHP, MySQL, JavaScript & HTML5 All-In-One For Dummies,724 Pages,2013,13.86 MB,https://cdn.asaha.com/assets/thumbs/e1e/e1ec7abe963086aec83a0335c51d2fce-s.jpg
Hacking For Dummies, 3rd Edition,411 Pages,2009,8.57 MB,https://cdn.asaha.com/assets/thumbs/14a/14a098772692e961057750876de07277-s.jpg
Digital Logic And Computer Design By M. Morris Mano,525 Pages,2006,13.29 MB,https://cdn.asaha.com/assets/thumbs/006/006570f777acac16006ce568fb8d9793-s.jpg
Python Tutorial - Tutorials Point,461 Pages,2016,3.76 MB,https://cdn.asaha.com/assets/thumbs/d5d/d5d7ecb45f3f936b8362c533e379f478-s.jpg
Mastering Photoshop for Web Design,216 Pages,2011,13.46 MB,https://cdn.asaha.com/assets/thumbs/bb3/bb394f5e6d24d9e18a574df6a70a22a3-s.jpg
Networking for Dummies--For Dummies; 7th Ed.,435 Pages,2004,9.24 MB,https://cdn.asaha.com/assets/thumbs/4de/4de5c99bf8632f40f057c44101ff9ed5-s.jpg
Beginning Programming for Dummies,433 Pages,2004,7.68 MB,https://cdn.asaha.com/assets/thumbs/37e/37ebe286fba9242392fc95cbbe667ee9-s.jpg
Hacking Wireless Networks For Dummies.pdf,387 Pages,2005,10.97 MB,https://cdn.asaha.com/assets/thumbs/a73/a731c4207ba8c5653a25a7b7bffae129-s.jpg
Hacking Gmail,310 Pages,2006,5.29 MB,https://cdn.asaha.com/assets/thumbs/10a/10abbf41cb99620b609741406f8a05a7-s.jpg
COMPUTER HARDWARE AND SOFTWARE,81 Pages,2008,1.38 MB,https://cdn.asaha.com/assets/thumbs/c6b/c6b6722d830ac18bed8cc004c173e24d-s.jpg
Building Arduino Projects for the Internet of Things,299 Pages,2016,16.9 MB,https://cdn.asaha.com/assets/thumbs/e25/e25e776edda5e399b5d9713caeacd74c-s.jpg
MATLAB Programming Fundamentals - MathWorks,1,104 Pages,2016,6.89 MB,https://cdn.asaha.com/assets/thumbs/73a/73ab08df6083c6d6aa93758cc73f6ce2-s.jpg
Android Programming Tutorials,447 Pages,2011,6.15 MB,https://cdn.asaha.com/assets/thumbs/141/141f43f08eeb4dcc6aa5ed65913567c5-s.jpg
PRACTICAL MATLAB® FOR ENGINEERS PRACTICAL MATLAB ,708 Pages,2008,7.23 MB,https://cdn.asaha.com/assets/thumbs/79e/79ea93c34bd22addc10d87f1fc5e6465-s.jpg
Web Animation using JavaScript: Develop & Design,402 Pages,2015,5.38 MB,https://cdn.asaha.com/assets/thumbs/7cd/7cd97aae6412a252b0b747dfc675873e-s.jpg
Basics Of Automobile,158 Pages,2005,377 KB,https://cdn.asaha.com/assets/thumbs/efe/efecd199fb3e7f54aead9aa077603cbf-s.jpg
Python Programming: An Introduction to Computer Science,261 Pages,2012,1.2 MB,https://cdn.asaha.com/assets/thumbs/435/435ebf44f65ab314be717cc2169c553a-s.jpg
PC Hardware A Beginner's Guide,673 Pages,2009,14.17 MB,https://cdn.asaha.com/assets/thumbs/045/04573a7c6a7567a8170299e13f38f869-s.jpg
Cracking the Coding Interview, Fourth Edition: 150 Programming ,310 Pages,2010,2.05 MB,https://cdn.asaha.com/assets/thumbs/955/95567fe62c3159d5ac99e2fbdecce7d9-s.jpg
The 8051 Microcontroller and Embedded,617 Pages,2008,4.2 MB,https://cdn.asaha.com/assets/thumbs/437/43779a398d95161e516066a3d0edb206-s.jpg
Python and Tkinter Programming,684 Pages,2005,8.97 MB,https://cdn.asaha.com/assets/thumbs/f1c/f1c086912b8000000b326459a73aad6b-s.jpg
Internet of Things,144 Pages,2015,3.28 MB,https://cdn.asaha.com/assets/thumbs/51f/51f81ad1f15c986d9665cddaa084ebbc-s.jpg
Beginning Java Programming For Dummies,408 Pages,2005,5.87 MB,https://cdn.asaha.com/assets/thumbs/8f5/8f5a539f83a88fd40f95b0d148d2bb83-s.jpg
Pro HTML5 and CSS3 Design Patterns,514 Pages,2011,11.68 MB,https://cdn.asaha.com/assets/thumbs/90a/90a131f9da39985cfa1cbbee463d91a5-s.jpg
WordPress Web Design For Dummies,387 Pages,2013,34.48 MB,https://cdn.asaha.com/assets/thumbs/498/498549f0cb16afc0a15e4388cafa14f6-s.jpg
Signals and Systems - Electrical Engineering,769 Pages,2012,6.34 MB,https://cdn.asaha.com/assets/thumbs/90a/90ad2eacb328506d206a73111238c69b-s.jpg
Foundations of Python Network Programming,369 Pages,2014,3.71 MB,https://cdn.asaha.com/assets/thumbs/ef9/ef9268f9fca2a6fbdcf402f6ab92cdc6-s.jpg
Reverse Engineering,620 Pages,2005,8.54 MB,https://cdn.asaha.com/assets/thumbs/be4/be446260e2ea7690b6982d5ad490d74b-s.jpg
Data Communication and Computer Network,106 Pages,2014,2.56 MB,https://cdn.asaha.com/assets/thumbs/48a/48aaf84b6bdeed6edcb9a2e20352add4-s.jpg
Automobile Engineering,247 Pages,2012,1.43 MB,https://cdn.asaha.com/assets/thumbs/b75/b75418159a6223353f60d0f283ffb52f-s.jpg
Microsoft Access VBA Macro Programming,400 Pages,2010,4.37 MB,https://cdn.asaha.com/assets/thumbs/88b/88bd1446cc1c2a90c2fbe1f8e8d46b71-s.jpg
Mathematical Foundation of Computer Science,393 Pages,2007,2.58 MB,https://cdn.asaha.com/assets/thumbs/551/551bd7ab438fc15d0b1daa09b5e9f1d1-s.jpg
IT Essentials: PC Hardware and Software Companion Guide,108 Pages,2013,1.36 MB,https://cdn.asaha.com/assets/thumbs/6da/6da82427cc34686c663473df37c9417d-s.jpg
Photoshop for Dummies,778 Pages,2010,35.44 MB,https://cdn.asaha.com/assets/thumbs/6b4/6b455692c155a2d495af5c815c1232d6-s.jpg
Learn Java for Web Development,461 Pages,2014,16.88 MB,https://cdn.asaha.com/assets/thumbs/d44/d445bd0a4ebb52943adde5f11735feea-s.jpg
Data Structures with Java,351 Pages,2007,7.23 MB,https://cdn.asaha.com/assets/thumbs/17a/17adb14fedc8492d233286267545b7bd-s.jpg
Modeling Structured Finance Cash Flows with Microsoft Excel,221 Pages,2007,6.62 MB,https://cdn.asaha.com/assets/thumbs/9c3/9c342e1cb23734b9e76ddaa81d993f1a-s.jpg
Expert C Programming,290 Pages,2002,2.15 MB,https://cdn.asaha.com/assets/thumbs/b8c/b8c6df81bd99acb436442e0444849d7c-s.jpg
Essential Skills Manual - Automotive Service Technician,255 Pages,2010,3.86 MB,https://cdn.asaha.com/assets/thumbs/1e0/1e0f0863564de11403099d22753d3475-s.jpg
Teach Your Kids To Code: A Parent-friendly Guide to Python Programming,335 Pages,2015,14.89 MB,https://cdn.asaha.com/assets/thumbs/ab5/ab57d42519b0616fd0109d18f4c00de2-s.jpg
3D Game Programming,296 Pages,2013,13.44 MB,https://cdn.asaha.com/assets/thumbs/150/150de55b2e702d4c44df90c9c8cfc9c3-s.jpg
Excel Data Analysis,353 Pages,2010,15.28 MB,https://cdn.asaha.com/assets/thumbs/b25/b255b73373ce7e3c387882759c21eacb-s.jpg
Gray Hat Hacking, 3rd Edition,721 Pages,2012,12.76 MB,https://cdn.asaha.com/assets/thumbs/829/829b89fc8fde9f2b3e737180ca1e1fcb-s.jpg
MatLab GUI Tutorial,500 Pages,2015,6.26 MB,https://cdn.asaha.com/assets/thumbs/f09/f099fce46d4c1ef44877a2072aa364e6-s.jpg
Hacking Google Maps and Google Earth,401 Pages,2006,11.28 MB,https://cdn.asaha.com/assets/thumbs/e58/e58411bd76d02b82e0ef7be6e1e2ba23-s.jpg
Alternators, Starters, Generators & Motors,632 Pages,2008,12.97 MB,https://cdn.asaha.com/assets/thumbs/fcb/fcb7c84eb8ce3248ec31044eb05b327d-s.jpg
